iter	Passed	Remaining
264	370	1028
265	371	1026
266	372	1023
267	373	1020
268	374	1017
269	375	1014
270	375	1011
271	376	1008
272	377	1005
273	378	1002
274	379	1000
275	380	997
276	381	994
277	381	991
278	382	989
279	383	986
280	384	983
281	385	980
282	386	978
283	387	975
284	388	974
285	389	971
286	390	969
287	390	966
288	391	963
289	392	961
290	393	958
291	394	956
292	395	953
293	396	952
294	397	950
295	398	947
296	399	945
297	400	943
298	401	941
299	402	939
300	403	936
301	404	934
302	404	931
303	405	928
304	406	926
305	407	924
306	408	922
307	409	919
308	410	917
309	411	915
310	412	913
311	413	911
312	414	908
313	414	906
314	415	904
315	416	902
316	417	900
317	418	898
318	419	895
319	420	892
320	420	890
321	421	888
322	422	886
323	423	883
324	424	881
325	425	879
326	426	877
327	426	874
328	427	872
329	428	870
330	429	868
331	430	867
332	432	865
333	432	863
334	433	860
335	434	859
336	435	857
337	436	854
338	437	853
339	438	851
340	439	849
341	440	846
342	440	844
343	441	842
344	442	839
345	443	837
346	444	836
347	445	834
348	445	831
349	446	829
350	447	827
351	448	825
352	449	823
353	450	821
354	451	819
355	452	818
356	453	816
357	454	815
358	455	813
359	456	811
360	457	809
361	458	807
362	459	805
363	460	804
364	461	802
365	462	800
366	463	798
367	464	797
368	465	795
369	466	793
370	467	792
371	469	791
372	470	790
373	471	788
374	472	786
375	473	785
376	474	783
377	475	781
378	476	780
379	477	778
380	478	776
381	478	774
382	479	772
383	480	771
384	482	770
385	483	768
386	484	767
387	485	765
388	486	763
389	487	762
390	488	760
391	489	759
392	490	758
393	491	756
394	493	755
395	494	754
396	495	752
397	497	752
398	498	750
399	499	749
400	501	748
401	502	746
402	503	746
403	504	744
404	506	743
405	507	742
406	508	740
407	509	739
408	510	737
409	511	736
410	512	735
411	513	733
412	514	731
413	515	729
414	516	728
415	517	726
416	518	724
417	519	723
418	520	721
419	521	720
420	523	719
421	524	717
422	528	720
423	530	720
424	531	718
425	532	717
426	533	716
427	534	714
428	536	713
429	537	712
430	538	710
431	539	708
432	540	707
433	542	707
434	543	706
435	544	704
436	546	703
437	547	702
438	548	700
439	549	699
440	550	698
441	551	696
442	553	695
443	554	694
444	557	695
445	559	694
446	560	693
447	562	692
448	563	691
449	566	691
450	567	690
451	568	688
452	568	687
453	572	688
454	573	686
455	574	685
456	575	684
457	577	683
458	578	682
459	580	681
460	581	680
461	583	678
462	584	677
463	585	676
464	587	675
465	588	674
466	590	673
467	591	672
468	592	670
469	594	669
470	595	668
471	596	667
472	597	665
473	598	664
474	599	662
475	602	663
476	603	661
477	605	660
478	606	659
479	607	658
480	608	656
481	610	655
482	611	654
483	612	653
484	613	651
485	614	650
486	617	650
487	618	648
488	619	647
489	620	646
490	621	644
491	623	643
492	624	642
493	626	641
494	627	639
495	628	638
496	629	636
497	630	635
498	632	634
499	633	633
500	634	631
501	636	631
502	637	629
503	638	628
504	639	626
505	640	625
506	641	623
507	642	622
508	643	621
509	646	620
510	647	619
511	648	618
512	649	617
513	651	615
514	652	614
515	653	613
516	655	612
517	656	611
518	657	609
519	659	608
520	660	607
521	661	605
522	662	604
523	663	602
524	664	601
525	665	599
526	666	598
527	667	596
528	668	595
529	670	594
530	671	593
531	673	592
532	674	590
533	675	589
534	676	588
535	677	586
536	678	585
537	679	583
538	680	582
539	682	581
540	683	579
541	685	579
542	686	577
543	688	577
544	689	575
545	690	574
546	691	572
547	692	571
548	693	569
549	694	568
550	695	567
551	696	565
552	698	564
553	700	564
554	702	562
555	703	561
556	704	560
557	705	558
558	706	557
559	707	556
560	709	554
561	710	553
562	711	552
563	712	550
564	713	549
565	716	549
566	717	547
567	718	546
568	719	544
569	720	543
570	721	542
571	722	540
572	723	539
573	724	537
574	725	536
575	726	534
576	727	533
577	728	531
578	729	530
579	731	529
580	732	528
581	733	527
582	734	525
583	736	524
584	737	523
585	738	521
586	739	520
587	740	518
588	741	517
589	742	515
590	743	514
591	745	513
592	746	512
593	747	511
594	748	509
595	749	508
596	750	506
597	751	505
598	752	504
599	753	502
600	754	501
601	755	499
602	756	498
603	757	496
604	760	496
605	761	495
606	762	493
607	763	492
608	764	491
609	766	489
610	767	488
611	768	487
612	769	485
613	770	484
614	771	483
615	772	481
616	775	481
617	776	480
618	778	478
619	779	477
620	780	476
621	781	474
622	782	473
623	783	471
624	784	470
625	785	469
626	787	468
627	788	467
628	790	466
629	791	464
630	792	463
631	793	462
632	795	461
633	796	459
634	797	458
635	798	456
636	799	455
637	800	454
638	801	452
639	802	451
640	803	450
641	805	448
642	806	447
643	807	446
644	808	445
645	810	443
646	811	442
647	812	441
648	812	439
649	813	438
650	814	436
651	815	435
652	816	433
653	817	432
654	819	431
655	820	430
656	822	429
657	823	427
658	824	426
659	825	425
660	826	424
661	827	422
662	828	421
663	830	420
664	831	418
665	832	417
666	834	416
667	835	415
668	837	414
669	838	413
670	839	411
671	840	410
672	841	409
673	842	407
674	843	406
675	845	405
676	846	403
677	849	403
678	850	402
679	852	400
680	853	399
681	854	398
682	855	397
683	856	395
684	858	394
685	859	393
686	860	392
687	861	390
688	864	390
689	865	388
690	866	387
691	868	386
692	869	384
693	869	383
694	870	382
695	872	380
696	873	379
697	874	378
698	875	377
699	878	376
700	879	375
701	880	373
702	882	372
703	883	371
704	885	370
705	886	369
706	887	367
707	888	366
708	890	365
709	894	365
710	896	364
711	897	363
712	898	361
713	899	360
714	900	359
715	902	357
716	903	356
717	904	355
718	905	353
719	909	353
720	911	352
721	912	351
722	913	350
723	914	348
724	915	347
725	916	346
726	917	344
727	918	343
728	920	342
729	921	340
730	923	339
731	925	338
732	926	337
733	927	336
734	928	334
735	929	333
736	931	332
737	932	330
738	933	329
739	934	328
740	936	327
741	937	326
742	939	324
743	940	323
744	941	322
745	942	321
746	943	319
747	945	318
748	946	317
749	948	316
750	949	314
751	953	314
752	954	313
753	955	311
754	957	310
755	959	309
756	960	308
757	961	306
758	962	305
759	963	304
760	964	302
761	965	301
762	967	300
763	968	299
764	970	298
765	971	296
766	972	295
767	973	293
768	974	292
769	975	291
770	976	290
771	978	288
772	980	287
773	983	287
774	984	285
775	986	284
776	987	283
777	988	282
778	989	280
779	990	279
780	992	278
781	993	276
782	994	275
783	995	274
784	997	273
785	998	271
786	999	270
787	1000	269
788	1002	268
789	1003	266
790	1005	265
791	1006	264
792	1007	262
793	1008	261
794	1009	260
795	1010	259
796	1012	257
797	1013	256
798	1014	255
799	1016	254
800	1017	252
801	1018	251
802	1019	250
803	1020	248
804	1021	247
805	1022	246
806	1024	244
807	1025	243
808	1027	242
809	1028	241
810	1030	240
811	1031	238
812	1032	237
813	1033	236
814	1034	234
815	1035	233
816	1036	232
817	1037	230
818	1038	229
819	1039	228
820	1041	227
821	1043	225
822	1044	224
823	1045	223
824	1047	222
825	1048	220
826	1050	219
827	1051	218
828	1052	217
829	1054	215
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1061	208
836	1062	206
837	1064	205
838	1065	204
839	1066	203
840	1068	201
841	1072	201
842	1073	199
843	1075	198
844	1076	197
845	1077	196
846	1079	194
847	1080	193
848	1082	192
849	1084	191
850	1088	190
851	1090	189
852	1091	188
853	1093	186
854	1094	185
855	1095	184
856	1096	183
857	1098	181
858	1099	180
859	1103	179
860	1104	178
861	1105	177
862	1106	175
863	1108	174
864	1109	173
865	1110	171
866	1111	170
867	1112	169
868	1114	167
869	1115	166
870	1117	165
871	1118	164
872	1119	162
873	1120	161
874	1122	160
875	1123	159
876	1124	157
877	1126	156
878	1128	155
879	1130	154
880	1133	153
881	1135	151
882	1136	150
883	1140	149
884	1142	148
885	1143	147
886	1146	145
887	1147	144
888	1148	143
889	1149	142
890	1151	140
891	1152	139
892	1153	138
893	1155	136
894	1156	135
895	1158	134
896	1160	133
897	1162	131
898	1163	130
899	1164	129
900	1166	128
901	1168	126
902	1169	125
903	1170	124
904	1172	123
905	1173	121
906	1174	120
907	1176	119
908	1178	117
909	1179	116
910	1180	115
911	1182	114
912	1183	112
913	1184	111
914	1186	110
915	1188	108
916	1189	107
917	1193	106
918	1195	105
919	1196	104
920	1198	102
921	1200	101
922	1201	100
923	1202	98
924	1204	97
925	1206	96
926	1207	95
927	1208	93
928	1210	92
929	1211	91
930	1212	89
931	1213	88
932	1215	87
933	1216	85
934	1217	84
935	1219	83
936	1220	82
937	1222	80
938	1223	79
939	1224	78
940	1226	76
941	1228	75
942	1229	74
943	1231	73
944	1232	71
945	1234	70
946	1236	69
947	1237	67
948	1238	66
949	1239	65
950	1241	63
951	1242	62
952	1244	61
953	1245	60
954	1246	58
955	1248	57
956	1249	56
957	1251	54
958	1252	53
959	1253	52
960	1255	50
961	1256	49
962	1258	48
963	1260	47
964	1261	45
965	1264	44
966	1265	43
967	1267	41
968	1269	40
969	1270	39
970	1272	37
971	1273	36
972	1275	35
973	1276	34
974	1277	32
975	1279	31
976	1280	30
977	1281	28
978	1283	27
979	1284	26
980	1286	24
981	1288	23
982	1289	22
983	1290	20
984	1291	19
985	1293	18
986	1295	17
987	1296	15
988	1297	14
989	1298	13
990	1299	11
991	1300	10
992	1301	9
993	1302	7
994	1305	6
995	1306	5
996	1308	3
997	1310	2
998	1311	1
999	1312	0
